tenant_name,title,content,category,tags
"원데이치과","임플란트 수술 비용","","가격정보","임플란트,비용,가격"
"원데이치과","임플란트 수술 과정","","임플란트","임플란트,수술,과정"
"원데이치과","임플란트 수술 후 관리","","주의사항","임플란트,관리,주의사항"
"원데이치과","임플란트 뼈이식 비용","","가격정보","임플란트,뼈이식,비용"
"원데이치과","즉시 임플란트 수술","","임플란트","즉시임플란트,발치,동시"
"원데이치과","임플란트 수명 및 유지","","임플란트","임플란트,수명,유지"
"원데이치과","당일 임플란트 가능 여부","","임플란트","당일임플란트,원데이,가능"
"원데이치과","상악동 거상술 비용","","가격정보","상악동거상술,뼈이식,비용"
"원데이치과","올온포 임플란트 비용","","가격정보","올온포,전체임플란트,비용"
"원데이치과","올온식스 임플란트 안내","","임플란트","올온식스,임플란트,틀니"
"원데이치과","라미네이트 가격 안내","","가격정보","라미네이트,비용,가격"
"원데이치과","라미네이트 시술 과정","","심미치과","라미네이트,시술,과정"
"원데이치과","라미네이트 유지 기간","","심미치과","라미네이트,유지,관리"
"원데이치과","치아 미백 가격","","가격정보","미백,치아미백,비용"
"원데이치과","자가 미백 vs 전문가 미백","","심미치과","미백,자가미백,비교"
"원데이치과","미백 효과 지속 기간","","심미치과","미백,효과,지속"
"원데이치과","지르코니아 크라운 비용","","가격정보","지르코니아,크라운,비용"
"원데이치과","골드 크라운 vs 지르코니아","","보철치료","골드,지르코니아,비교"
"원데이치과","크라운 수명 및 관리","","보철치료","크라운,수명,관리"
"원데이치과","신경치료 비용","","가격정보","신경치료,근관치료,비용"
"원데이치과","신경치료 통증 및 과정","","치료정보","신경치료,통증,과정"
"원데이치과","신경치료 후 크라운 필수 여부","","치료정보","신경치료,크라운,필수"
"원데이치과","충치 치료 비용","","가격정보","충치,치료,비용"
"원데이치과","레진 vs 인레이 비교","","치료정보","레진,인레이,비교"
"원데이치과","충치 예방 방법","","예방정보","충치,예방,관리"
"원데이치과","스케일링 비용 및 주기","","가격정보","스케일링,비용,주기"
"원데이치과","스케일링 건강보험 적용","","보험정보","스케일링,건강보험,급여"
"원데이치과","치주염 치료 방법","","치료정보","치주염,잇몸,치료"
"원데이치과","잇몸 성형 수술","","잇몸치료","잇몸성형,수술,심미"
"원데이치과","치아 교정 비용","","가격정보","교정,치아교정,비용"
"원데이치과","투명 교정 (인비절라인)","","교정치료","투명교정,인비절라인,교정"
"원데이치과","설측 교정 안내","","교정치료","설측교정,교정,비용"
"원데이치과","부분 교정 가능 여부","","교정치료","부분교정,교정,기간"
"원데이치과","교정 기간 및 관리","","교정치료","교정,기간,관리"
"원데이치과","교정 후 유지장치 착용","","교정치료","교정,유지장치,착용"
"원데이치과","사랑니 발치 비용","","가격정보","사랑니,발치,비용"
"원데이치과","매복 사랑니 발치 과정","","발치정보","매복사랑니,발치,과정"
"원데이치과","사랑니 발치 후 주의사항","","주의사항","사랑니,발치,주의"
"원데이치과","어린이 불소 도포 비용","","가격정보","불소도포,어린이,예방"
"원데이치과","어린이 치아 실란트","","예방정보","실란트,어린이,충치예방"
"원데이치과","치과 진료 할부 및 카드 혜택","","가격정보","할부,무이자,카드혜택"
"원데이치과","상담 예약 방법 안내","","예약","예약,상담,방법"
"원데이치과","예약 변경 및 취소 규정","","예약","예약변경,취소,규정"
"원데이치과","당일 방문 진료 가능 여부","","예약","당일,방문,진료"
"원데이치과","해외환자 통역 서비스","","통역","통역,해외환자,언어"
"원데이치과","중국어 통역 직원 상주 여부","","통역","중국어,통역,직원"
"원데이치과","일본어 통역 가능 시간","","통역","일본어,통역,시간"
"원데이치과","세금환급 (택스리펀) 신청 방법","","세금환급","세금환급,택스리펀,신청"
"원데이치과","신용카드 무이자 할부 안내","","결제","신용카드,무이자,할부"
"원데이치과","현금 결제 할인 혜택","","결제","현금,할인,혜택"
"원데이치과","해외 카드 (비자/마스터) 사용","","결제","해외카드,비자,마스터"
"원데이치과","치료 비용 분할 납부","","결제","분할납부,할부,치료비"
"원데이치과","임플란트 통증 걱정","","고민","임플란트,통증,걱정"
"원데이치과","임플란트 실패 시 보증","","고민","임플란트,실패,보증"
"원데이치과","교정 기간 동안 불편함","","고민","교정,기간,불편"
"원데이치과","병원 위치 및 찾아오는 길","","안내","위치,오시는길,교통"
"원데이치과","주차장 이용 안내","","안내","주차,주차장"
"원데이치과","진료 시간 및 휴무일","","안내","진료시간,휴무,영업시간"
