tenant_name,title,content,category,tags
"클리어서울안과","라식 수술 비용 및 가격","","가격정보","라식,비용,가격"
"클리어서울안과","라식 수술 대상 및 조건","","수술정보","라식,조건,대상"
"클리어서울안과","라식 수술 전 검사 항목","","검사정보","라식,검사,준비"
"클리어서울안과","라식 수술 후 회복 기간","","회복정보","라식,회복,기간"
"클리어서울안과","라식 수술 후 주의사항","","주의사항","라식,주의,회복"
"클리어서울안과","라섹 수술 비용 안내","","가격정보","라섹,비용,가격"
"클리어서울안과","라섹과 라식의 차이점","","수술정보","라섹,라식,차이"
"클리어서울안과","라섹 수술 통증 및 회복","","회복정보","라섹,통증,회복"
"클리어서울안과","스마일라식 비용 안내","","가격정보","스마일라식,비용,가격"
"클리어서울안과","스마일라식 장점 및 효과","","수술정보","스마일라식,장점,효과"
"클리어서울안과","스마일라식 수술 시간","","수술정보","스마일라식,시간,과정"
"클리어서울안과","스마일라식 부작용","","안전정보","스마일라식,부작용,안전"
"클리어서울안과","ICL 렌즈삽입술 비용","","가격정보","ICL,렌즈삽입술,비용"
"클리어서울안과","ICL 수술 대상 및 조건","","수술정보","ICL,조건,대상"
"클리어서울안과","ICL 수술 후 관리 방법","","주의사항","ICL,관리,주의사항"
"클리어서울안과","ICL 렌즈 교체 시기","","수술정보","ICL,렌즈교체,유지"
"클리어서울안과","백내장 수술 비용","","가격정보","백내장,수술,비용"
"클리어서울안과","백내장 수술 시기 판단","","수술정보","백내장,시기,진단"
"클리어서울안과","백내장 인공수정체 종류","","수술정보","백내장,인공수정체,종류"
"클리어서울안과","백내장 수술 후 시력 회복","","회복정보","백내장,시력,회복"
"클리어서울안과","백내장 수술 건강보험 적용","","보험정보","백내장,건강보험,급여"
"클리어서울안과","노안 교정 수술 방법","","수술정보","노안,교정,수술"
"클리어서울안과","노안과 백내장 동시 수술","","수술정보","노안,백내장,동시수술"
"클리어서울안과","안구건조증 치료 방법","","치료정보","안구건조증,치료,IPL"
"클리어서울안과","안구건조증 원인 및 예방","","치료정보","안구건조증,원인,예방"
"클리어서울안과","눈 다래끼 치료 방법","","치료정보","다래끼,치료,안과"
"클리어서울안과","결막염 치료 및 약 처방","","치료정보","결막염,치료,약"
"클리어서울안과","녹내장 검사 및 진단","","검사정보","녹내장,검사,진단"
"클리어서울안과","녹내장 치료 방법","","치료정보","녹내장,치료,안압"
"클리어서울안과","망막 검사 비용","","가격정보","망막,검사,비용"
"클리어서울안과","황반변성 치료 방법","","치료정보","황반변성,치료,주사"
"클리어서울안과","당뇨망막병증 관리","","치료정보","당뇨망막병증,치료,관리"
"클리어서울안과","렌즈 착용 중 라식 가능 여부","","수술정보","라식,렌즈,가능"
"클리어서울안과","시력교정술 후 운동 가능 시기","","주의사항","시력교정,운동,회복"
"클리어서울안과","시력교정술 할부 및 무이자 안내","","가격정보","시력교정,할부,무이자"
"클리어서울안과","상담 예약 방법 안내","","예약","예약,상담,방법"
"클리어서울안과","예약 변경 및 취소 규정","","예약","예약변경,취소,규정"
"클리어서울안과","검사 당일 수술 가능 여부","","예약","당일,수술,검사"
"클리어서울안과","해외환자 통역 서비스 (중국어/일본어)","","통역","통역,중국어,일본어,해외"
"클리어서울안과","통역 직원 상주 시간","","통역","통역,직원,시간"
"클리어서울안과","세금환급 (택스리펀) 신청","","세금환급","세금환급,택스리펀,신청"
"클리어서울안과","신용카드 결제 및 무이자 할부","","결제","신용카드,무이자,할부"
"클리어서울안과","현금 결제 할인 혜택","","결제","현금,할인,혜택"
"클리어서울안과","해외 카드 (비자/마스터) 결제","","결제","해외카드,비자,마스터"
"클리어서울안과","수술 비용 분할 납부","","결제","분할납부,할부,비용"
"클리어서울안과","시력교정술 부작용 걱정","","고민","부작용,걱정,안전"
"클리어서울안과","수술 실패 시 재수술 보증","","고민","실패,재수술,보증"
"클리어서울안과","난시/고도근시 수술 가능 여부","","고민","난시,고도근시,가능"
"클리어서울안과","병원 위치 및 오시는 길","","안내","위치,오시는길,교통"
"클리어서울안과","주차 안내","","안내","주차,주차장"
"클리어서울안과","진료 시간 및 휴무일","","안내","진료시간,휴무"
